company_name,company_location,reporting_quarter,economic_condition_tag,revenue_growth,profit_margin,stock_price_change,past_layoffs,total_employees,job_title,tech_stack,role_demand_index,department_resilience_index,tech_stack_trend_score,years_at_company,salary_range,performance_rating,department,remote_work,role_layoff_rate,industry,industry_layoff_rate,unemployment_rate,inflation_rate
Sun Pharma,Hyderabad,Q2 2023,Stable,2.8,13.82,2.3,No,39393,Site Reliability Engineer,Kubernetes + SRE + Observability,8.18,7.97,7.72,15,5354790,5,Engineering,Yes,0.1,Healthcare,0.66,7.37,6.63
Cipla,Bengaluru,Q1 2023,Recovery,-0.68,19.34,6.99,No,25477,Product Manager,Roadmapping + Jira + Experimentation,7.71,6.44,7.33,6,5099853,4,Product,Yes,0.893,Healthcare,0.96,7.02,6.64
Sun Pharma,Chennai,Q4 2023,Recovery,9.42,15.58,2.79,Yes,42033,Sales Executive,Pipeline Automation + Prospecting Tools,5.09,5.01,5.1,3,1632871,4,Sales,No,3.457,Healthcare,1.22,6.58,5.95
Wipro Limited,Noida,Q4 2024,Growth,14.37,13.66,8.53,Yes,232618,DevOps Engineer,Linux + Ansible + Observability,8.22,8.96,7.57,1,2020656,4,Engineering,Yes,0.773,Information Technology,1.17,5.79,5.23
Accenture India Pvt Ltd,Bengaluru,Q4 2024,Recovery,7.67,18.03,6.07,Yes,315911,Senior Software Engineer,Java + Spring Boot,7.67,7.38,7.07,6,2793660,4,Engineering,No,1.929,Consulting,1.85,5.01,5.35
LTIMindtree,Noida,Q1 2025,Growth,12.98,18.82,19.58,No,75274,QA Engineer,Selenium + Cypress + API Testing,6.74,7.5,6.36,6,1079475,3,Engineering,No,1.502,Information Technology,1.05,6.16,5.19
Cognizant India,Chennai,Q3 2024,Growth,11.39,16.69,22.54,No,231034,Software Engineer,Node.js + React,8.35,7.88,6.64,3,1249594,3,Engineering,Yes,0.857,Information Technology,0.71,6.35,5.43
Tech Mahindra Ltd.,Mumbai,Q3 2025,Recovery,9.88,17.32,11.33,No,168894,Data Scientist,Python + ML + SQL,8.02,7.45,8.57,3,2749318,3,Analytics,Yes,1.294,Information Technology,1.79,5.48,5.41
Amazon India,Coimbatore,Q3 2024,Stable,14.14,13.37,18.93,No,117441,Sales Executive,Pipeline Automation + Prospecting Tools,5.97,5.94,4.91,5,1437900,4,Sales,No,2.87,E-commerce,2.22,6.39,5.68
Bharti Airtel,Pune,Q2 2024,Stable,5.9,16.08,3.25,No,65490,Recruiter,Sourcing Automation + Talent Analytics,4.92,4.37,6.19,2,997912,3,HR,No,3.223,Telecommunications,1.97,5.96,5.52
Tech Mahindra Ltd.,Bengaluru,Q3 2023,Recovery,7.69,19.15,16.52,No,142752,Data Analyst,Excel + SQL + Reporting,6.78,7.69,4.55,18,2305808,4,Analytics,No,2.226,Information Technology,1.81,7.0,6.12
Axis Bank,Chennai,Q1 2024,Recession,1.72,19.22,10.83,No,88916,Technical Lead,Node.js + Microservices,6.89,8.15,7.73,1,2618565,4,Engineering,No,1.903,Financial Services,2.54,6.62,5.71
Wipro Limited,Pune,Q4 2025,Growth,13.93,19.75,17.98,Yes,262547,Accountant,SAP Finance + Compliance,5.64,6.27,5.55,6,1058855,3,Finance,No,2.551,Information Technology,1.17,6.02,5.74
Amazon India,Noida,Q1 2024,Stable,11.0,12.83,5.36,No,135555,HR Specialist,HRMS + Excel + Analytics,5.58,5.7,5.52,3,1417173,5,HR,No,1.685,E-commerce,1.63,6.79,6.22
PwC India,Hyderabad,Q1 2025,Stable,6.44,20.94,9.71,No,68795,Cloud Engineer,GCP + Docker + Networking,8.73,8.87,6.3,3,3079931,4,Engineering,Yes,0.01,Consulting,1.22,5.44,4.73
Deloitte India,Noida,Q4 2023,Stable,12.27,20.25,12.15,No,108008,Senior Software Engineer,Java + Spring Boot,7.5,7.82,7.1,4,2326315,3,Engineering,Yes,1.327,Consulting,1.42,7.08,5.96
IBM India,Mumbai,Q4 2024,Recovery,5.82,17.6,15.93,No,141148,UI/UX Designer,Figma + Design Systems,7.28,6.43,6.86,7,2106122,4,Product,Yes,1.354,Information Technology,1.73,5.33,5.83
Apollo Hospitals,Hyderabad,Q1 2023,Recovery,-0.53,16.13,4.16,No,63035,Recruiter,Sourcing Automation + Talent Analytics,4.94,4.39,6.17,3,870369,3,HR,No,3.174,Healthcare,1.61,7.99,7.19
Coforge,Bengaluru,Q2 2025,Growth,11.56,23.26,15.16,Yes,27280,Project Manager,Program Planning + Risk Tracking,6.91,6.8,5.84,7,3488366,3,Management,Yes,2.297,Information Technology,1.0,5.25,4.91
Accenture India Pvt Ltd,Bengaluru,Q1 2024,Recovery,8.22,17.09,10.12,No,289760,Software Engineer,Node.js + React,7.85,8.05,7.18,2,1766954,2,Engineering,Yes,1.918,Consulting,1.4,5.93,5.61
Wipro Limited,Noida,Q1 2023,Recession,3.85,17.23,24.27,No,262093,Machine Learning Engineer,PyTorch + Kubernetes + MLflow,8.33,7.86,9.26,5,2877852,3,Analytics,Yes,1.451,Information Technology,2.51,8.13,6.93
Deloitte India,Pune,Q4 2025,Growth,7.96,19.09,10.09,No,119711,Customer Success Manager,SaaS Onboarding + QBR Playbooks,6.69,5.75,6.25,3,1761981,4,Operations,No,1.756,Consulting,0.75,5.86,5.41
Larsen & Toubro,Hyderabad,Q2 2023,Recovery,6.42,13.53,17.43,Yes,44035,Support Engineer,ITSM + Linux + SQL,5.04,7.6,5.7,4,1054482,3,Engineering,Yes,3.245,Manufacturing,2.02,7.44,6.49
Amazon Development Centre India Pvt Ltd,Chennai,Q3 2024,Recovery,10.49,13.71,17.17,No,170836,Senior Software Engineer,Python + Django,7.9,4.19,6.41,7,3387805,4,HR,Yes,1.788,E-commerce,2.44,6.41,5.12
Capgemini India,Bengaluru,Q3 2023,Stable,6.37,16.87,10.47,No,162094,Solution Architect,Enterprise Integration + API Design,6.66,8.26,7.61,2,5681069,5,Engineering,Yes,0.427,Consulting,1.23,7.2,6.35
Accenture India Pvt Ltd,Ahmedabad,Q4 2024,Stable,7.48,21.9,21.14,Yes,271907,Senior Software Engineer,Node.js + React,7.61,8.74,7.18,8,2085602,4,Engineering,Yes,1.262,Consulting,1.5,5.85,5.22
Deloitte India,Mumbai,Q3 2024,Stable,7.56,19.41,17.59,Yes,105088,Engineering Manager,Agile + Jira + Architecture Reviews,7.35,6.1,6.89,9,5404612,4,Management,Yes,1.343,Consulting,1.0,5.68,5.41
LTIMindtree,Bengaluru,Q4 2024,Recovery,8.75,20.51,19.19,No,91730,Cloud Engineer,Azure + DevOps + IaC,8.46,7.96,7.45,11,4919486,3,Engineering,Yes,0.961,Information Technology,1.54,5.09,5.18
IBM India,Chennai,Q3 2023,Growth,9.05,19.65,11.22,No,142282,Product Manager,Roadmapping + Jira + Experimentation,7.9,6.51,7.19,0,4067402,4,Product,Yes,0.854,Information Technology,0.69,7.3,6.15
Infosys,Bengaluru,Q2 2025,Stable,11.35,18.86,23.9,Yes,346298,Data Scientist,PySpark + MLflow + Python,7.46,8.02,8.39,9,3594031,5,Analytics,Yes,0.01,Information Technology,1.33,4.64,5.02
EY India,Chennai,Q3 2025,Stable,9.02,19.27,5.84,Yes,88865,Engineering Manager,Cloud Delivery + Program Governance,6.92,6.46,7.78,3,4250428,4,Management,No,1.506,Consulting,0.75,5.52,5.65
Larsen & Toubro,Ahmedabad,Q4 2025,Stable,3.07,9.85,3.68,No,53462,Support Engineer,Ticketing + Debugging + Scripting,5.82,7.87,4.82,3,989029,3,IT,Yes,2.261,Manufacturing,1.25,6.45,5.49
PwC India,Hyderabad,Q4 2024,Growth,14.26,19.57,19.06,No,66240,Technical Lead,.NET + Azure,7.42,8.43,7.77,2,4450606,5,Engineering,No,0.89,Consulting,0.85,5.8,5.52
Larsen & Toubro,Bengaluru,Q1 2023,Recession,2.09,15.19,9.89,No,50339,Data Analyst,Excel + SQL + Reporting,5.98,6.98,3.61,3,1748861,5,Analytics,No,2.994,Manufacturing,2.76,7.34,6.78
IBM India,Noida,Q1 2023,Recession,5.38,17.86,7.44,Yes,158771,Senior Software Engineer,Java + Spring Boot,8.59,8.25,7.94,4,1850306,4,Engineering,Yes,1.755,Information Technology,2.84,7.8,6.82
Tech Mahindra Ltd.,Chennai,Q3 2024,Stable,8.03,17.31,7.04,Yes,158439,Customer Success Manager,CRM + Customer Analytics,5.51,6.72,5.76,2,1728280,4,Operations,No,2.375,Information Technology,1.38,6.19,5.43
HCL Technologies,Mumbai,Q4 2023,Stable,12.89,18.12,16.16,No,227143,Cybersecurity Analyst,SIEM + SOC + Threat Hunting,8.1,7.57,7.1,9,3358700,4,IT,No,0.287,Information Technology,1.46,6.44,5.58
HDFC Bank,Hyderabad,Q2 2023,Recovery,6.09,20.69,24.21,No,185678,Business Analyst,SQL + Excel + Process Mapping,7.15,5.63,6.19,5,2539791,2,Management,Yes,2.244,Financial Services,1.45,7.78,6.35
Oracle Financial Services Software Ltd.,Chennai,Q2 2025,Growth,10.25,21.39,17.1,No,29171,Software Engineer,Node.js + React,8.8,8.56,6.98,1,1358079,5,Engineering,Yes,0.163,Financial Services,0.6,6.05,4.87
HDFC Bank,Mumbai,Q2 2025,Stable,8.33,23.04,12.3,No,169345,Project Manager,Agile + Jira + Stakeholder Management,5.79,6.31,5.57,1,3310644,3,Management,Yes,2.194,Financial Services,0.93,5.85,5.32
Tata Consultancy Services (TCS),Chennai,Q1 2024,Stable,8.11,14.86,14.79,No,566161,Site Reliability Engineer,AWS + Incident Response,8.27,7.81,6.67,4,2049989,2,Engineering,Yes,1.466,Information Technology,1.34,6.39,5.67
Amazon Development Centre India Pvt Ltd,Hyderabad,Q4 2023,Growth,13.41,9.3,19.6,Yes,141465,QA Engineer,Playwright + CI Test Automation,6.13,8.52,6.99,10,4049238,5,Engineering,Yes,1.548,E-commerce,1.54,7.1,5.83
Accenture India Pvt Ltd,Kochi,Q2 2024,Growth,13.7,21.79,13.47,Yes,288202,Data Scientist,Python + ML + SQL,8.71,8.35,8.48,6,2614007,3,Analytics,No,0.801,Consulting,0.92,6.26,5.38
Deloitte India,Kolkata,Q2 2023,Recession,6.12,19.41,8.32,Yes,105220,Technical Lead,Node.js + Microservices,7.6,5.54,6.98,2,2677172,3,Finance,Yes,3.359,Consulting,2.62,7.82,6.48
Amazon Development Centre India Pvt Ltd,Pune,Q4 2023,Stable,12.04,11.11,21.72,No,166895,Project Manager,Program Planning + Risk Tracking,6.42,6.59,6.09,5,3497118,4,Management,No,2.227,E-commerce,1.77,6.38,5.66
HCL Technologies,Chennai,Q3 2023,Recession,8.25,18.83,16.26,No,222323,Software Engineer,Python + FastAPI,8.02,8.06,7.6,8,1871395,3,Engineering,No,1.676,Information Technology,2.14,6.74,6.09
Mahindra & Mahindra,Gurugram,Q2 2024,Growth,3.21,13.04,21.16,No,78267,Cloud Engineer,AWS + Terraform + Kubernetes,7.78,7.04,7.76,3,2160855,4,Engineering,No,0.51,Manufacturing,1.5,6.13,5.74
Mahindra & Mahindra,Delhi,Q4 2024,Growth,5.21,10.95,4.73,Yes,83069,Sales Executive,CRM + Sales Analytics,6.16,6.85,5.06,2,1642142,5,Management,No,1.839,Manufacturing,0.72,6.38,5.53
Oracle Financial Services Software Ltd.,Bengaluru,Q4 2024,Growth,12.3,23.57,16.08,No,27161,Software Engineer,Go + Microservices,9.11,7.98,7.18,1,1478938,2,Engineering,No,1.728,Financial Services,0.79,5.47,5.35
Tata Consultancy Services (TCS),Mumbai,Q2 2023,Stable,9.93,18.95,11.3,Yes,556237,HR Specialist,HRMS + Excel + Analytics,6.0,5.14,5.99,3,1310262,3,HR,No,2.847,Information Technology,1.17,7.32,6.67
Wipro Limited,Pune,Q3 2024,Growth,12.19,21.14,19.84,No,229438,Senior Software Engineer,Node.js + React,7.76,8.77,6.91,7,2630404,4,Engineering,Yes,0.191,Information Technology,1.12,5.67,5.24
Cognizant India,Mumbai,Q4 2024,Recovery,8.93,18.02,10.14,No,237009,Site Reliability Engineer,Linux + Prometheus + Grafana,8.82,7.49,7.83,5,3439628,5,Engineering,Yes,0.491,Information Technology,1.62,5.89,5.37
LTIMindtree,Mumbai,Q4 2023,Stable,9.96,17.81,12.34,Yes,83597,DevOps Engineer,Terraform + CI/CD + GCP,8.26,8.56,8.08,1,1549196,2,Analytics,Yes,2.002,Information Technology,1.92,7.21,6.03
Tech Mahindra Ltd.,Delhi,Q1 2023,Recession,5.96,14.02,13.5,No,149860,Support Engineer,Ticketing + Debugging + Scripting,5.23,6.91,4.04,4,1069489,5,IT,Yes,2.987,Information Technology,2.14,8.78,7.12
Apollo Hospitals,Mumbai,Q3 2024,Stable,5.79,15.44,14.85,Yes,73140,Site Reliability Engineer,Linux + Prometheus + Grafana,7.97,9.32,6.5,3,1844990,3,Engineering,No,2.152,Healthcare,0.89,5.69,5.17
ICICI Bank,Hyderabad,Q4 2025,Recovery,3.7,19.4,6.46,No,124424,Data Scientist,PySpark + MLflow + Python,7.81,7.5,9.06,11,4374841,5,Analytics,Yes,0.01,Financial Services,1.32,5.38,5.49
Amazon Development Centre India Pvt Ltd,Hyderabad,Q3 2025,Growth,12.31,14.56,15.36,Yes,147086,Software Engineer,Python + FastAPI,7.95,8.51,7.49,7,2688211,3,Engineering,No,1.92,E-commerce,1.64,5.18,5.1
Tech Mahindra Ltd.,Bengaluru,Q4 2023,Recession,8.3,18.58,6.88,Yes,149568,Software Engineer,Go + Microservices,7.8,7.42,7.34,2,1561548,4,Engineering,Yes,2.6,Information Technology,2.77,6.44,5.98
EY India,Noida,Q1 2024,Stable,11.45,18.32,9.15,No,79164,Cloud Engineer,AWS + Terraform + Kubernetes,9.0,8.41,9.0,5,2614174,3,Engineering,Yes,0.217,Consulting,0.87,6.97,5.73
Sun Pharma,Mumbai,Q4 2023,Stable,6.24,18.66,13.28,No,40152,Data Scientist,Python + NLP + Statistics,7.91,7.94,6.96,5,3742459,4,Analytics,Yes,0.339,Healthcare,1.29,6.99,5.94
ICICI Bank,Bengaluru,Q4 2024,Recovery,5.62,18.14,16.13,Yes,121704,Senior Software Engineer,Node.js + React,7.96,8.01,6.96,4,2140012,3,Engineering,No,1.874,Financial Services,1.61,5.1,5.33
HCL Technologies,Chennai,Q2 2023,Recovery,2.87,20.65,-0.17,No,223206,Cloud Engineer,AWS + Terraform + Kubernetes,8.42,8.39,8.21,5,3409268,5,Engineering,Yes,0.636,Information Technology,1.52,7.8,6.74
IBM India,Delhi,Q3 2024,Growth,13.59,19.02,13.46,No,138225,Data Analyst,SQL + Tableau + Python,7.27,8.17,7.04,3,1715864,3,Analytics,Yes,1.218,Information Technology,0.83,6.29,5.31
Amazon India,Bengaluru,Q1 2023,Recovery,6.87,12.42,15.65,Yes,115273,DevOps Engineer,Linux + Ansible + Observability,8.11,8.39,7.53,3,3706947,2,Engineering,No,2.274,E-commerce,2.54,8.05,6.87
IBM India,Kolkata,Q2 2024,Stable,10.44,17.05,6.13,No,138173,HR Specialist,HRMS + Excel + Analytics,6.03,4.87,5.41,2,1013539,4,HR,Yes,2.861,Information Technology,1.46,7.13,5.85
HDFC Bank,Bengaluru,Q3 2024,Stable,14.28,22.82,15.59,No,157683,Sales Executive,CRM + Sales Analytics,6.0,6.73,4.97,1,1286378,4,Sales,Yes,2.666,Financial Services,0.79,6.24,5.12
Axis Bank,Bengaluru,Q3 2023,Stable,8.54,21.21,12.71,Yes,72508,Business Analyst,SQL + Excel + Process Mapping,6.67,7.18,5.85,1,2042565,3,Management,Yes,2.453,Financial Services,0.7,6.96,6.4
Cognizant India,Mumbai,Q2 2024,Growth,11.72,17.69,20.14,No,225671,Site Reliability Engineer,Linux + Prometheus + Grafana,8.32,7.99,7.59,3,2609609,3,Engineering,No,1.105,Information Technology,1.29,5.93,5.46
Amazon Development Centre India Pvt Ltd,Chennai,Q2 2025,Stable,15.89,11.88,36.55,No,175310,Project Manager,Agile + Jira + Stakeholder Management,6.39,6.52,6.93,2,3623749,3,Management,Yes,2.065,E-commerce,1.9,5.92,5.27
Capgemini India,Bengaluru,Q2 2025,Stable,11.3,26.9,11.14,No,179199,Technical Lead,Kubernetes + AWS,7.93,8.29,9.05,2,3367172,4,Engineering,No,0.816,Consulting,1.53,5.12,5.19
Cognizant India,Mumbai,Q4 2024,Growth,15.35,16.43,11.81,No,296813,Site Reliability Engineer,AWS + Incident Response,8.01,8.63,6.29,7,3082805,3,Engineering,Yes,0.805,Information Technology,1.06,6.16,5.93
Bharti Airtel,Pune,Q4 2024,Growth,9.58,15.64,17.49,No,68429,Software Engineer,Java + Spring Boot,8.22,8.4,6.58,4,2134511,3,Engineering,Yes,1.66,Telecommunications,1.46,5.81,5.38
Tata Motors,Kochi,Q1 2024,Recovery,4.67,13.03,9.07,No,69486,Product Manager,Roadmapping + Jira + Experimentation,7.25,6.29,7.21,1,2825627,3,Product,No,1.684,Manufacturing,1.66,6.62,5.55
Apollo Hospitals,Bengaluru,Q2 2025,Stable,2.71,16.73,4.96,Yes,59781,Site Reliability Engineer,AWS + Incident Response,8.3,8.41,7.34,12,3361780,4,Engineering,Yes,0.814,Healthcare,0.79,5.44,5.23
Coforge,Noida,Q4 2023,Recovery,9.23,18.49,17.3,Yes,29077,HR Specialist,People Analytics + HR Operations,5.26,5.41,6.03,4,983051,3,HR,Yes,2.703,Information Technology,1.98,6.93,6.42
Infosys,Bengaluru,Q2 2024,Stable,13.53,18.63,26.75,No,367057,DevOps Engineer,Linux + Ansible + Observability,8.4,8.36,8.03,4,2174875,3,Engineering,Yes,1.011,Information Technology,1.6,6.06,5.3
Flipkart Internet Pvt Ltd,Bengaluru,Q4 2025,Stable,12.14,11.33,14.22,No,35031,DevOps Engineer,Terraform + CI/CD + GCP,8.36,7.97,7.42,5,3485178,5,Engineering,Yes,1.068,E-commerce,1.81,5.46,5.86
Mahindra & Mahindra,Pune,Q4 2025,Recovery,3.14,10.59,0.33,No,71473,UI/UX Designer,Figma + Design Systems,6.51,6.78,6.9,7,2320846,5,Product,Yes,1.307,Manufacturing,1.8,5.99,5.5
Google India,Kolkata,Q3 2025,Growth,11.75,16.53,11.4,No,19010,Site Reliability Engineer,Kubernetes + SRE + Observability,8.79,7.99,8.68,5,3051300,4,Engineering,No,0.01,Information Technology,1.0,6.56,5.31
Flipkart Internet Pvt Ltd,Mumbai,Q2 2023,Recession,6.58,10.19,20.65,No,41449,Software Engineer,Go + Microservices,8.14,7.74,7.55,4,1733319,3,Engineering,Yes,2.663,E-commerce,3.3,7.76,6.86
Larsen & Toubro,Kolkata,Q3 2023,Recovery,5.57,15.66,10.82,No,55689,Project Manager,Agile + Jira + Stakeholder Management,5.74,6.14,6.67,1,2049206,3,Management,No,2.812,Manufacturing,2.09,8.14,6.3
Google India,Bengaluru,Q3 2024,Recovery,8.89,17.03,9.71,No,18291,Senior Software Engineer,.NET + Azure,8.77,8.0,6.59,4,4569461,4,Engineering,Yes,1.03,Information Technology,1.87,5.65,5.3
Apollo Hospitals,Kochi,Q4 2023,Stable,8.15,15.78,14.82,No,65924,Technical Lead,Java + Spring Boot,7.84,8.8,7.17,6,2512994,2,Engineering,Yes,1.429,Healthcare,0.77,6.91,6.02
Accenture India Pvt Ltd,Hyderabad,Q3 2025,Growth,11.41,20.07,16.73,No,282545,QA Engineer,Selenium + Cypress + API Testing,6.72,8.14,6.4,2,1199183,4,Engineering,Yes,1.967,Consulting,0.85,5.54,5.33
Tech Mahindra Ltd.,Hyderabad,Q4 2025,Stable,12.87,20.58,17.19,No,144789,Software Engineer,Go + Microservices,7.61,8.41,7.13,1,1214866,3,Engineering,Yes,1.887,Information Technology,1.7,5.29,5.57
Larsen & Toubro,Chennai,Q1 2024,Growth,5.44,17.26,10.52,No,53908,Project Manager,Program Planning + Risk Tracking,6.76,6.42,6.23,1,3211120,3,Management,No,1.955,Manufacturing,1.22,6.72,6.12
Meesho,Kolkata,Q1 2024,Recovery,13.08,13.31,8.11,Yes,7011,Sales Executive,Pipeline Automation + Prospecting Tools,5.57,5.1,5.92,4,1331808,3,Sales,Yes,3.767,E-commerce,2.46,7.25,5.8
Tech Mahindra Ltd.,Pune,Q4 2025,Stable,10.22,17.34,16.38,No,149162,Customer Success Manager,CRM + Customer Analytics,6.28,7.19,6.39,5,1754482,3,Operations,Yes,2.907,Information Technology,1.16,6.23,5.58
Sun Pharma,Ahmedabad,Q4 2023,Growth,5.83,16.56,13.0,No,34791,Cybersecurity Analyst,SIEM + SOC + Threat Hunting,9.09,6.96,7.72,3,1602310,3,IT,No,0.148,Healthcare,0.34,7.22,5.85
Larsen & Toubro,Kochi,Q1 2025,Growth,5.08,18.85,11.36,No,56715,Customer Success Manager,CRM + Customer Analytics,5.49,6.04,5.45,1,1366815,5,Operations,No,2.696,Manufacturing,0.96,5.92,5.28
Tata Consultancy Services (TCS),Chennai,Q4 2023,Stable,11.39,17.2,26.93,No,650260,Software Engineer,Python + FastAPI,7.71,6.56,7.19,8,1830130,4,Sales,Yes,0.39,Information Technology,0.87,6.47,5.76
HCL Technologies,Mumbai,Q2 2023,Recession,4.13,17.52,22.42,Yes,236818,Data Scientist,Python + NLP + Statistics,8.1,7.82,7.37,2,2259548,2,Analytics,Yes,2.332,Information Technology,2.53,7.43,6.88
PwC India,Bengaluru,Q2 2025,Stable,8.37,16.99,23.91,No,78086,Senior Software Engineer,Java + Spring Boot,8.57,8.2,6.41,3,2793557,4,Engineering,No,1.061,Consulting,1.1,4.84,4.94
IBM India,Mumbai,Q3 2025,Growth,9.03,19.58,25.94,No,124366,Customer Success Manager,CRM + Customer Analytics,6.06,6.13,6.29,9,2659144,4,Operations,Yes,1.372,Information Technology,0.69,5.91,5.21
Tata Consultancy Services (TCS),Bengaluru,Q2 2023,Recession,5.74,18.66,17.83,No,629093,Site Reliability Engineer,Linux + Prometheus + Grafana,7.64,7.68,7.42,2,3055271,3,Engineering,Yes,2.083,Information Technology,2.79,7.12,6.52
IBM India,Mumbai,Q3 2025,Growth,10.43,17.55,18.17,No,147609,Cloud Engineer,GCP + Docker + Networking,9.03,8.23,7.41,4,3047464,4,Engineering,Yes,0.558,Information Technology,0.81,5.81,5.35
PwC India,Bengaluru,Q4 2024,Stable,5.72,13.78,1.45,No,69141,Site Reliability Engineer,Linux + Prometheus + Grafana,8.31,8.42,7.31,3,3442632,3,Engineering,Yes,1.066,Consulting,1.16,5.85,5.82
ICICI Bank,Gurugram,Q3 2024,Stable,8.1,20.42,7.91,Yes,132471,QA Engineer,Selenium + Cypress + API Testing,6.14,8.06,6.79,6,1792402,4,Engineering,Yes,1.741,Financial Services,0.86,5.9,5.22
Amazon India,Bengaluru,Q4 2025,Stable,13.02,11.74,17.35,No,116871,Sales Executive,Pipeline Automation + Prospecting Tools,5.8,5.99,5.64,2,1751528,4,Sales,No,2.444,E-commerce,1.46,5.53,5.06
HDFC Bank,Hyderabad,Q3 2023,Recession,5.99,20.32,21.85,No,179804,Senior Software Engineer,Java + Spring Boot,7.43,8.29,7.41,5,3213141,4,Engineering,Yes,1.556,Financial Services,2.38,6.92,5.86
Vodafone Idea,Noida,Q4 2025,Recovery,-1.33,12.04,-8.64,Yes,9212,Site Reliability Engineer,Kubernetes + SRE + Observability,9.15,7.49,8.71,5,2207533,4,Engineering,Yes,1.32,Telecommunications,2.25,6.15,5.86
ICICI Bank,Bengaluru,Q1 2025,Recovery,8.91,23.65,11.06,No,137795,Data Analyst,SQL + Power BI + Excel,6.37,7.65,6.41,0,1710082,4,Analytics,Yes,1.384,Financial Services,1.1,5.12,5.2
Capgemini India,Chennai,Q1 2025,Growth,11.05,15.63,8.48,Yes,169544,Software Engineer,Go + Microservices,8.39,8.23,7.36,5,1423567,5,Engineering,Yes,0.906,Consulting,0.94,6.2,4.75
PwC India,Bengaluru,Q1 2023,Recovery,7.49,18.07,12.56,Yes,66770,UI/UX Designer,Figma + Design Systems,6.56,6.54,6.53,3,2181046,5,Product,No,1.838,Consulting,1.29,7.78,6.61
HCL Technologies,Pune,Q1 2023,Recovery,10.97,20.7,12.57,Yes,267758,Site Reliability Engineer,AWS + Incident Response,9.12,8.08,6.97,3,3141611,4,Engineering,Yes,1.766,Information Technology,1.77,7.97,6.79
Tech Mahindra Ltd.,Kolkata,Q2 2023,Recovery,6.59,17.36,14.08,No,146731,QA Engineer,Selenium + Cypress + API Testing,6.38,8.34,6.41,7,1091984,3,Engineering,Yes,1.918,Information Technology,1.61,8.02,6.44
Tech Mahindra Ltd.,Mumbai,Q1 2025,Stable,10.45,18.55,2.17,No,179826,Engineering Manager,Cloud Delivery + Program Governance,6.77,6.69,7.42,4,3870652,4,Management,Yes,1.181,Information Technology,1.56,5.69,5.51
Accenture India Pvt Ltd,Hyderabad,Q3 2024,Growth,13.32,22.21,31.78,Yes,293550,Software Engineer,Python + FastAPI,8.45,8.89,6.55,2,1121664,4,Engineering,Yes,0.369,Consulting,0.58,5.93,5.22
Deloitte India,Pune,Q2 2023,Stable,11.3,20.13,20.57,No,115130,Software Engineer,Java + Spring Boot,8.48,9.21,7.2,10,2836827,3,Engineering,Yes,0.947,Consulting,0.87,7.46,6.79
Axis Bank,Chennai,Q2 2023,Recession,2.22,17.39,8.4,Yes,96484,Software Engineer,Node.js + React,8.62,7.42,6.51,3,1446461,2,Engineering,No,3.085,Financial Services,1.84,7.82,6.51
Apollo Hospitals,Bengaluru,Q3 2025,Recovery,7.36,20.82,19.22,No,67420,Cloud Engineer,AWS + Terraform + Kubernetes,8.64,8.07,8.53,2,2417165,3,Engineering,No,0.01,Healthcare,1.73,5.37,5.54
Tata Consultancy Services (TCS),Mumbai,Q2 2024,Stable,9.95,17.4,14.72,No,612179,Senior Software Engineer,Java + Spring Boot,8.26,9.19,6.83,2,2299879,4,Engineering,Yes,0.357,Information Technology,1.46,5.84,5.91
Tech Mahindra Ltd.,Bengaluru,Q1 2024,Stable,12.28,19.74,21.67,No,161839,Site Reliability Engineer,Kubernetes + SRE + Observability,8.89,8.18,8.1,2,3276298,3,Engineering,Yes,1.016,Information Technology,1.56,5.68,6.03
Deloitte India,Pune,Q1 2023,Recession,4.03,23.23,10.72,Yes,115953,UI/UX Designer,Figma + Design Systems,6.06,6.74,7.18,6,1737724,4,Product,No,2.507,Consulting,1.95,8.19,6.92
Infosys,Bengaluru,Q4 2023,Stable,13.87,20.77,21.19,No,335322,Cloud Engineer,Azure + DevOps + IaC,8.34,8.48,6.48,5,3511785,4,Engineering,Yes,0.01,Information Technology,1.28,6.61,5.89
Jio Platforms,Mumbai,Q3 2024,Recession,3.9,13.34,9.08,No,94510,Support Engineer,Ticketing + Debugging + Scripting,4.72,6.52,4.03,8,1541559,4,IT,No,3.576,Telecommunications,2.8,5.55,5.56
Tata Motors,Hyderabad,Q1 2025,Stable,6.12,13.69,11.99,Yes,72766,Site Reliability Engineer,AWS + Incident Response,8.01,8.37,6.93,1,2033753,5,Engineering,Yes,1.574,Manufacturing,1.49,5.68,4.84
PwC India,Hyderabad,Q1 2025,Growth,11.0,18.42,17.08,No,62561,Senior Software Engineer,Python + Django,8.19,7.63,6.96,5,2326905,5,Engineering,No,0.702,Consulting,0.7,5.51,4.99
Apollo Hospitals,Mumbai,Q2 2023,Recovery,0.81,13.46,2.78,No,78315,Software Engineer,Node.js + React,8.28,7.53,6.16,13,2929354,4,Engineering,No,0.893,Healthcare,1.13,7.52,6.59
Oracle Financial Services Software Ltd.,Hyderabad,Q4 2025,Stable,7.09,21.67,12.18,No,31156,Senior Software Engineer,Node.js + React,7.86,8.39,6.16,3,2360393,2,Engineering,No,1.014,Financial Services,0.96,5.7,5.6
Apollo Hospitals,Bengaluru,Q2 2024,Growth,6.16,14.3,-3.59,No,63949,Software Engineer,Python + FastAPI,7.93,8.84,6.9,2,1549236,4,Engineering,No,0.391,Healthcare,0.49,5.52,5.55
